idade,tempo_navegacao,preco_curso,categoria,nivel_interesse,visualizacoes,ja_comprou_antes,comprou
56,37,161,2,2,14,1,0
46,12,53,1,4,9,1,0
32,49,143,2,7,15,1,1
25,55,124,0,3,3,1,0
38,13,239,1,5,2,0,0
56,23,111,2,8,2,1,1
36,25,143,0,3,3,0,0
40,35,144,1,4,18,1,0
28,41,201,0,9,14,0,0
28,30,104,1,7,18,1,1
41,17,186,0,1,10,0,0
53,49,296,0,4,2,1,0
57,20,180,2,4,1,0,0
41,48,292,0,9,4,0,0
20,25,80,1,6,14,0,1
39,22,89,1,9,1,0,1
19,13,278,2,6,14,0,0
41,59,85,1,6,16,0,1
47,19,201,1,5,14,1,0
55,49,272,1,5,3,0,0
19,36,55,0,2,3,1,0
38,12,115,0,8,9,1,0
50,41,261,1,8,6,1,0
29,19,269,2,1,13,1,0
39,12,124,0,8,2,1,0
42,9,53,2,5,8,0,0
44,7,128,1,2,2,0,0
59,28,183,1,2,4,0,0
45,14,167,0,6,15,1,0
33,31,162,1,9,4,0,1
32,52,143,0,1,13,0,0
20,19,297,1,6,12,0,0
54,58,279,1,9,13,0,0
24,47,228,0,8,14,0,0
38,16,111,0,6,18,1,0
26,53,234,0,3,6,0,0
56,5,243,1,8,11,1,0
35,35,128,1,9,2,1,1
21,12,252,2,1,19,1,0
42,25,185,0,9,19,1,1
31,52,75,1,6,5,1,1
26,59,228,1,6,19,0,0
43,21,222,0,4,2,0,0
19,36,93,2,1,10,0,0
37,53,182,0,8,2,1,1
45,23,119,2,2,11,0,0
24,16,203,1,1,18,0,0
25,57,167,2,2,15,1,0
52,39,117,1,1,9,1,0
31,45,68,0,1,19,1,0
34,53,261,0,9,9,1,0
53,42,274,0,1,3,0,0
57,58,69,2,4,9,1,0
21,39,162,1,6,14,1,1
19,14,189,0,7,19,0,0
23,31,96,0,2,7,0,0
59,58,50,1,6,16,1,1
21,5,139,0,7,16,0,0
46,35,191,1,2,1,1,0
35,23,113,1,2,4,1,0
43,29,87,1,7,4,0,1
51,43,86,1,1,7,0,0
27,11,175,1,8,8,1,0
53,18,188,2,3,17,1,0
31,47,149,0,6,5,1,1
48,12,126,2,9,7,0,0
32,9,284,0,6,4,1,0
25,10,52,2,9,6,1,0
31,58,210,1,7,7,1,0
40,44,183,0,9,18,1,1
57,17,227,0,2,5,1,0
38,38,297,2,8,3,0,0
33,7,59,2,8,7,1,0
35,46,54,0,2,14,1,0
41,13,200,2,4,7,1,0
43,40,187,2,7,5,1,1
42,42,221,2,4,5,0,0
58,9,179,1,4,2,0,0
46,50,62,1,6,6,0,1
32,27,217,2,6,15,1,0
18,58,179,2,3,10,1,0
42,2,133,1,9,7,0,0
24,5,114,1,2,5,0,0
26,29,112,0,6,1,0,1
41,37,150,0,7,13,1,1
18,38,122,1,9,18,1,1
25,19,66,2,3,13,0,0
41,8,58,2,3,18,0,0
28,48,252,2,7,5,0,0
34,45,192,2,4,13,1,0
25,1,201,0,8,4,1,0
52,22,87,1,7,17,1,1
52,52,296,2,5,3,0,0
50,17,212,0,7,17,0,0
22,7,143,2,3,11,1,0
59,25,144,1,2,4,0,0
56,45,98,0,6,2,1,1
58,4,118,1,2,16,0,0
45,36,111,1,3,18,0,0
24,6,237,0,6,8,0,0
26,31,285,0,5,3,0,0
25,19,227,0,8,9,1,0
29,44,127,0,9,6,0,1
51,54,166,0,3,10,1,0
50,39,169,0,3,10,1,0
40,27,252,0,3,13,1,0
41,10,186,2,6,17,0,0
54,26,211,1,1,9,1,0
52,19,125,0,7,17,1,0
57,39,276,2,1,9,1,0
39,3,84,2,5,9,0,0
44,45,50,2,8,1,0,1
52,13,89,1,4,2,1,0
18,50,113,0,5,16,0,0
52,28,199,2,4,1,1,0
54,58,109,1,4,10,1,0
31,20,113,1,8,18,0,0
20,28,142,1,2,8,1,0
18,8,121,2,1,11,0,0
22,41,60,0,3,2,0,0
43,39,154,2,9,8,1,1
31,1,278,2,4,8,0,0
56,3,63,0,5,17,0,0
44,13,109,0,2,15,1,0
26,28,79,0,4,17,1,0
32,57,84,1,2,13,0,0
32,49,262,0,2,19,0,0
43,25,214,2,4,5,1,0
59,56,54,0,6,12,0,1
30,33,132,2,7,1,0,1
